tp,q,a,txt,src,domain,set
Trash,"Ну, вот я слышал, что Яндекс Еда там что-то делает с этими ресторанами, ну, с партнерами, да? И как они вообще там деньги делят, ну, кто кому сколько платит...","Вознаграждение - это процент от стоимости заказа, который партнер платит Яндекс Еде за использование сервиса.","Раздел 1.6: ""Вознаграждение — сумма, уплачиваемая Партнером за услугу Сервиса в виде процента от стоимости Заказа...""",https://yandex.ru/legal/com_politics_eda/,law,yandex
Reformulation,"Означает ли, что пользователи, присоединяясь к сервису Яндекс Еда, автоматически соглашаются со всеми правилами и стандартами сервиса?","Да, фактом использования сервиса участники подтверждают, что ознакомлены с правилами и стандартами сервиса.","Раздел 2.2.3: ""Фактом своего использования Сервиса все Участники Сервиса подтверждают...""",https://yandex.ru/legal/com_politics_eda/,law,yandex
Incorrect by design,"Может ли Яндекс.Еда отказать пользователю в доступе к сервису, если он использует VPN для обхода региональных ограничений?",В тексте нет информации о политике в отношении использования VPN.,,https://yandex.ru/legal/com_politics_eda/,law,yandex
Table,,,В данном документе отсутствуют таблицы.,https://yandex.ru/legal/com_politics_eda/,law,yandex
No info,Какова средняя маржа ресторанов-партнеров Яндекс.Еды после выплаты вознаграждения сервису?,В тексте нет информации о средней марже ресторанов-партнеров.,Неприменимо: Вопрос не относится к тексту.,https://yandex.ru/legal/com_politics_eda/,law,yandex
,,,,,law,yandex
Simple,Какие данные обрабатываются в отношении курьеров-партнеров сервиса Яндекс.Еда?,Информация о порядке обработки персональных данных курьеров-партнеров сервиса Яндекс.Еда.,"Преамбула: ""Настоящая Политика определяет порядок обработки ООО «Яндекс.Такси» персональных данных курьеров-партнеров...""",https://yandex.ru/legal/com_politics_eda/,law,yandex
With errors,"Какия права имеит курьер-партнёр в атношении сваих персональных данныч, абрабатываемых яндексом?",Право на получение информации об обработке своих персональных данных.,"Раздел 1: ""Вы имеете право на получение информации, касающейся обработки Ваших персональных данных...""",https://yandex.ru/legal/com_politics_eda/,law,yandex
Trash,"Ну, вот я слышал, что Яндекс что-то делает с данными этих курьеров, ну, которые еду развозят, да? И что они там вообще делают с этими данными...",Порядок обработки персональных данных курьеров-партнеров сервиса Яндекс.Еда.,"Преамбула: ""Настоящая Политика определяет порядок обработки ООО «Яндекс.Такси» персональных данных курьеров-партнеров...""",https://yandex.ru/legal/com_politics_eda/,law,yandex
Reformulation,"Означает ли, что Яндекс.Такси имеет право передавать персональные данные курьеров-партнеров третьим лицам без их согласия?",В тексте нет информации о передаче персональных данных курьеров-партнеров третьим лицам.,,https://yandex.ru/legal/com_politics_eda/,law,yandex
Incorrect by design,Может ли Яндекс.Такси использовать персональные данные курьеров-партнеров для оценки их политических взглядов?,В тексте нет информации об использовании персональных данных для оценки политических взглядов.,,https://yandex.ru/legal/com_politics_eda/,law,yandex
Table,,,В данном документе отсутствуют таблицы.,,law,yandex
No info,Каков бюджет Яндекс.Такси на обеспечение защиты персональных данных курьеров-партнеров в 2024 году?,В тексте нет информации о бюджете на защиту персональных данных.,Неприменимо: Вопрос не относится к тексту.,https://yandex.ru/legal/com_politics_eda/,law,yandex
,,,,,law,yandex
Simple,"Что такое ""Доход Доставщика"" в контексте данного документа?","Сумма, перечисляемая Сервисом Доставщику за каждый выполненный Заказ за вычетом выплат Оператору Сервиса.","Раздел 1: ""Доход Доставщика — сумма, перечисляемая Сервисом Доставщику за каждый выполненный Заказ...""",https://yandex.ru/legal/procedure_dostavschik/,law,yandex
With errors,"Какие факторы влияют на расчёт дахода доставщика, согласно дакументу?",Информация о выполненных Доставщиком Заказах.,"Раздел 2: ""Размер Дохода Доставщика рассчитывается на основании информации о выполненных Доставщиком Заказах.""",https://yandex.ru/legal/procedure_dostavschik/,law,yandex
Trash,"Ну, вот я слышал, что Яндекс как-то платит этим доставщикам... И как они там вообще платят...","Доход — это сумма, которую Яндекс платит доставщику за каждый выполненный заказ за вычетом комиссий.","Раздел 1: ""Доход Доставщика — сумма, перечисляемая Сервисом Доставщику за каждый выполненный Заказ...""",https://yandex.ru/legal/procedure_dostavschik/,law,yandex
Reformulation,"Означает ли, что размер дохода доставщика может быть изменен Яндексом в одностороннем порядке?",В тексте нет информации об одностороннем изменении размера дохода.,,https://yandex.ru/legal/procedure_dostavschik/,law,yandex
Incorrect by design,Имеет ли право Яндекс вычитать из дохода доставщика штрафы за нарушение правил дорожного движения?,В тексте нет информации о штрафах за нарушение ПДД.,,https://yandex.ru/legal/procedure_dostavschik/,law,yandex
Table,,,В данном документе отсутствуют таблицы.,https://yandex.ru/legal/procedure_dostavschik/,law,yandex
No info,Каков средний доход доставщика Яндекс.Еды в Москве в 2024 году?,В тексте нет информации о среднем доходе доставщика.,Неприменимо: Вопрос не относится к тексту.,https://yandex.ru/legal/procedure_dostavschik/,law,yandex
