tp,q,a,txt,src,domain,set
Trash,"Слушайте, вот если я хочу узнать, что там Ozon делает с моими данными, ну, вообще, что они там собирают... как я вообще могу узнать, что они там делают с моими данными?","Нужно направить запрос Оператору (ООО ""Интернет Решения"") в порядке, установленном политикой и законом.","""2.1. Субъект персональных данных имеет право на получение информации...""",https://docs.ozon.ru/legal/personal-data/ru/oi/,law,ozon
Reformulation,"Означает ли, что Ozon обязан предоставить субъекту персональных данных информацию о третьих лицах, которым были переданы его данные?","Да, Ozon обязан предоставить информацию об осуществляемой трансграничной передачи данных.","""2.1.1 подтверждение факта обработки персональных данных Оператором;...""",https://docs.ozon.ru/legal/personal-data/ru/oi/,law,ozon
Incorrect by design,"Может ли Ozon игнорировать запрос субъекта персональных данных, если посчитает его необоснованным?","Нет, Ozon обязан предоставить мотивированный ответ в течение 30 дней.","""3.5. Срок рассмотрения Запроса и направления мотивированного ответа...""",https://docs.ozon.ru/legal/personal-data/ru/oi/,law,ozon
Table,,,В данном документе отсутствуют таблицы.,https://docs.ozon.ru/legal/personal-data/ru/oi/,law,ozon
No info,"Каков средний размер компенсации, выплачиваемой Ozon субъектам персональных данных за незаконную обработку их данных?",В тексте нет информации о компенсациях за незаконную обработку данных.,Неприменимо: Вопрос не относится к тексту.,https://docs.ozon.ru/legal/personal-data/ru/oi/,law,ozon
,,,,,law,ozon
Simple,Какие данные собирает Ozon при использовании сайта или приложения?,"Данные устройства и подключения, данные об использовании сайта или приложения, данные о местоположении.","""Мы собираем информацию, когда вы используете сайт или приложение...""",https://docs.ozon.ru/legal/personal-data/privacy-policy/,law,ozon
With errors,"С какими целяме озон может использовать данные пользавателя? (Ошибка: опечатки в словах ""целями"", ""Озон"", ""пользователя"")","Предоставлять услуги, улучшать услуги и показывать рекламу пользователю.","""Мы используем информацию для отправки вам рекламных сообщений...""",https://docs.ozon.ru/legal/personal-data/privacy-policy/,law,ozon
Trash,"Слушайте, ну вот я пользуюсь Ozon... что они вообще делают с моими данными? Можно как-то узнать?",Чтобы предоставлять и улучшать услуги и показывать рекламу пользователю.,"""Мы используем информацию для отправки вам рекламных сообщений...""",https://docs.ozon.ru/legal/personal-data/privacy-policy/,law,ozon
Reformulation,Означает ли согласие с Политикой конфиденциальности Ozon согласие на получение рекламных рассылок?,"Да, если вы дали согласие на их получение.","""Мы можем использовать вашу информацию для отправки вам рекламных сообщений...""",https://docs.ozon.ru/legal/personal-data/privacy-policy/,law,ozon
Incorrect by design,Может ли Ozon продавать персональные данные пользователей третьим лицам для получения прибыли?,Нет.,"""Нет информации о продаже личных данных.""",https://docs.ozon.ru/legal/personal-data/privacy-policy/,law,ozon
Table,,,В данном документе отсутствуют таблицы.,https://docs.ozon.ru/legal/personal-data/privacy-policy/,law,ozon
No info,"Каков процент пользователей Ozon, отказавшихся от получения рекламных рассылок?",В тексте нет информации о проценте отказавшихся от рассылок.,Неприменимо: Вопрос не относится к тексту.,https://docs.ozon.ru/legal/personal-data/privacy-policy/,law,ozon
,,,,,,ozon
Simple,"Что понимается под ""Товаром"" в контексте оферты ""Коммерческая поставка""?","Любое движимое имущество, предлагаемое Поставщиком к продаже на Сайте Ozon.","""«Товар» — любое движимое имущество (вещь), предлагаемое Поставщиком к продаже посредством размещения на Сайте Ozon.""",https://docs.ozon.ru/legal/partners/shipment/ru/commercial-supply/,law,ozon
With errors,"Какая атветственность предусмотрена для паставщика в случае нарушения сроков паставки тавара? (ошибка: опечатки в словах ""ответственность"", ""поставщика"", ""поставки"", ""товара"")",Уплата неустойки.,"""5.2. В случае нарушения Поставщиком сроков поставки Товара, Ozon вправе потребовать от Поставщика уплаты неустойки.""",https://docs.ozon.ru/legal/partners/shipment/ru/commercial-supply/,law,ozon
Trash,"Слушайте, вот если я поставщик... И вот что будет если я вовремя не поставлю товар... какие там штрафы вообще?",Ozon вправе потребовать уплаты неустойки.,"""5.2. В случае нарушения Поставщиком сроков поставки Товара, Ozon вправе потребовать от Поставщика уплаты неустойки.""",https://docs.ozon.ru/legal/partners/shipment/ru/commercial-supply/,law,ozon
Reformulation,"Означает ли принятие оферты ""Коммерческая поставка"", что поставщик согласен с правом Ozon на одностороннее изменение условий оферты?",Да.,"""11.1. Ozon вправе в одностороннем порядке вносить изменения в настоящую Оферту...""",https://docs.ozon.ru/legal/partners/shipment/ru/commercial-supply/,law,ozon
Incorrect by design,"Может ли Ozon взимать с поставщика комиссию, не указанную в оферте ""Коммерческая поставка""?",Нет.,"""В тексте прописаны все условия и положения.""",https://docs.ozon.ru/legal/partners/shipment/ru/commercial-supply/,law,ozon
Table,,,В данном документе отсутствуют таблицы.,https://docs.ozon.ru/legal/partners/shipment/ru/commercial-supply/,law,ozon
No info,"Каков средний размер комиссии, взимаемой Ozon с поставщиков по оферте ""Коммерческая поставка"" в 2024 году?",В тексте нет информации о среднем размере комиссии.,Неприменимо: Вопрос не относится к тексту.,https://docs.ozon.ru/legal/partners/shipment/ru/commercial-supply/,law,ozon
,,,,,law,ozon
Simple,Какое право применимо к отношениям между Ozon и B2B клиентом?,Законодательство Российской Федерации.,"""Настоящие Условия регулируются и толкуются в соответствии с законодательством Российской Федерации.""",https://docs.ozon.ru/legal/partners/b2b/standard-terms/,law,ozon
With errors,"Какие спосабы размещения заказа даступны для B2B клиентов соглосно стандратным условиям? (ошибка: опечатки в словах ""способы"", ""доступны"", ""согласно"", ""стандартным"")","Через личный кабинет или иным способом, согласованным с Ozon.","""B2B Клиент может разместить Заказ через Личный кабинет или иным способом, согласованным с Ozon.""",https://docs.ozon.ru/legal/partners/b2b/standard-terms/,law,ozon
Trash,"Слушайте, вот я B2B клиент... И как я вообще могу сделать заказ... какие там способы есть?",Через личный кабинет или другим способом.,"""B2B Клиент может разместить Заказ через Личный кабинет или иным способом, согласованным с Ozon.""",https://docs.ozon.ru/legal/partners/b2b/standard-terms/,law,ozon
Reformulation,Означает ли регистрация в качестве B2B клиента Ozon автоматическое согласие на получение рекламных материалов?,Неизвестно.,Данный аспект не урегулирован.,https://docs.ozon.ru/legal/partners/b2b/standard-terms/,law,ozon
Incorrect by design,Может ли Ozon в одностороннем порядке повысить цены на товары для B2B клиентов после оформления заказа?,Неизвестно.,Данный аспект не урегулирован.,https://docs.ozon.ru/legal/partners/b2b/standard-terms/,law,ozon
Table,,,В данном документе отсутствуют таблицы.,https://docs.ozon.ru/legal/partners/b2b/standard-terms/,law,ozon
No info,Каков средний объем закупок B2B клиентов на Ozon в месяц?,В тексте нет информации о среднем объеме закупок.,Неприменимо: Вопрос не относится к тексту.,https://docs.ozon.ru/legal/partners/b2b/standard-terms/,law,ozon
,,,,,,ozon
Simple,На что направлена политика обработки персональных данных кандидатов?,Определение общих принципов и порядка обработки персональных данных кандидатов.,"""Настоящая Политика определяет общие принципы и порядок обработки персональных данных кандидатов на трудоустройство в ООО «Интернет Решения»...""",https://docs.ozon.ru/legal/partners/candidates/personnel/,law,ozon
With errors,"Какие права имеит кандитат в атношении сваих персональных данныч, абрабатываемых яндексом? (Ошибка: опечатки в словах ""имеет"", ""кандидат"", ""отношении"", ""своих"", ""данных"", ""обрабатываемых"")",Право на получение информации об обработке своих персональных данных.,"""Кандидат имеет право на получение информации, касающейся обработки его персональных данных...""",https://docs.ozon.ru/legal/partners/candidates/personnel/,law,ozon
Trash,"Слушайте, вот я устраиваюсь на работу в Ozon, да? И что они вообще делают с моими данными, ну, зачем они им нужны, ну, вообще, можно как-то узнать, что они там делают с моими данными, ну, если я кандидат, да? Ну, расскажите вкратце, да?",Кандидат имеет право на получение информации об обработке своих персональных данных.,"""Кандидат имеет право на получение информации, касающейся обработки его персональных данных...""",https://docs.ozon.ru/legal/partners/candidates/personnel/,law,ozon
Reformulation,Означает ли направление резюме в Ozon согласие на обработку персональных данных указанных в резюме?,Неизвестно.,Данный аспект не урегулирован.,https://docs.ozon.ru/legal/partners/candidates/personnel/,law,ozon
Incorrect by design,Может ли Ozon отказать в трудоустройстве кандидату на основании его политических взглядов?,Неизвестно.,Нет информации об использовании персональных данных для оценки политических взглядов.,https://docs.ozon.ru/legal/partners/candidates/personnel/,law,ozon
Table,,,В данном документе отсутствуют таблицы.,https://docs.ozon.ru/legal/partners/candidates/personnel/,law,ozon
No info,Каков средний срок рассмотрения резюме кандидата в Ozon в 2024 году?,В тексте нет информации о среднем сроке рассмотрения резюме.,Неприменимо: Вопрос не относится к тексту.,https://docs.ozon.ru/legal/partners/candidates/personnel/,law,ozon
,,,,,law,ozon
Simple,Что является предметом договора хранения товара?,Хранение товара Поставщика на складе Оператора.,"""Предмет договора — хранение товара Поставщика на складе Оператора.""",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
With errors,"Какая атветственность прадусмотрена для хранения товара в случаи его утраты? (Ошибка: опечатки в словах ""ответственность"", ""предусмотрена"", ""случае"")",Возмещение убытков Поклажедателя.,"""В случае утраты Товара Оператор обязан возместить убытки Поклажедателя.""",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
Trash,Вот скажите если Ozon потеряет товар...,Оператор обязан возместить убытки Поклажедателя.,"""В случае утраты Товара Оператор обязан возместить убытки Поклажедателя.""",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
Reformulation,Означает ли договор хранения товара автоматическое согласие сторон на изменение условий хранения без уведомления?,Неизвестно.,Данный аспект не урегулирован.,https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
Incorrect by design,Имеет ли право Оператор увеличивать стоимость хранения без предварительного уведомления?,Неизвестно.,Данный аспект не урегулирован.,https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
Table,,,В данном документе отсутствуют таблицы.,https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
No info,Какова средняя стоимость хранения товаров у Озона за месяц?,В тексте нет информации о стоимости хранения товаров.,Неприменимо: Вопрос не относится к тексту.,https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
,,,,,,ozon
multi-block,"Какова последовательность действий для заключения договора между Заказчиком и Исполнителем, и какие условия должны быть выполнены, чтобы договор считался незаключенным?","Для заключения договора Исполнитель должен пройти авторизацию, заполнить анкету в ИС Заказчика и акцептовать договор после успешной проверки документов. Заказчик активирует Исполнителя в своей ИС, после чего начинается исполнение договора. Однако, Заказчик имеет право отказать в доступе к акцепту договора без объяснения причин, в таком случае договор считается незаключенным, и у сторон не возникают права и обязанности, предусмотренные договором.","3. Порядок заключения и изменения Договора, 3.1, 3.2",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
multi-block,"Какие документы должен предоставить Исполнитель, являющийся гражданином РФ, для оказания услуг, и в каком случае он может указать банковские реквизиты третьего лица?","Гражданин РФ должен предоставить паспорт, документ о регистрации, СНИЛС, ИНН и банковские реквизиты, оформленные на Исполнителя. Исполнители, оказывающие услуги на объектах Ozon fresh, вправе указать банковские реквизиты третьего лица, в пользу которого будут происходить платежи по договору.","5. Права и обязанности Сторон, 5.1, 5.1.10",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
multi-block,"Какие действия необходимо предпринять Исполнителю для авторизации в ИС Заказчика, и какую ответственность он несет за безопасность данных для верификации?",Для авторизации Исполнителю необходимо ввести номер телефона в ИС Заказчика и ввести полученный одноразовый код. Исполнитель несет ответственность за неразглашение данных для верификации третьим лицам и обязан незамедлительно уведомить Заказчика в случае подозрений о несанкционированном использовании данных.,"3. Порядок заключения и изменения Договора, 3.3, 3.3.1, 3.3.4",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
multi-block,"Как происходит подтверждение объема и качества оказанных услуг, и в какой срок Исполнитель может оспорить уведомление об оказанных услугах?","Объем и качество оказываемых услуг подтверждается данными ИС Заказчика. Заказчик предоставляет Исполнителю уведомление об оказанных услугах в электронной форме, размещая его в аккаунте или отправляя по электронной почте. Исполнитель может заявить мотивированные возражения в течение 2 календарных дней с момента получения уведомления, иначе уведомление считается согласованным сторонами.","4. Предмет Договора, 4.4, 6. Вознаграждение за услуги, 6.2, 6.3",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
multi-block,"Какие обязательства берет на себя Исполнитель в отношении имущества Заказчика, и какие последствия могут наступить в случае нарушения этих обязательств?","Исполнитель обязан обеспечивать сохранность имущества Заказчика, бережно относиться к нему и не допускать порчи, утраты или повреждения. Он несет полную ответственность за ущерб, причиненный имуществу, оборудованию и работникам Заказчика и третьих лиц. Заказчик может использовать результаты видеонаблюдения и фотофиксации в качестве доказательства неисполнения обязательств.","5. Права и обязанности Сторон, 5.1, 5.1.4, 5.1.5",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
multi-block,"В каком случае Заказчик выплачивает дополнительное вознаграждение Исполнителю, и каким образом Заказчик уведомляет Исполнителя об оказанных услугах?","Заказчик выплачивает дополнительное вознаграждение Исполнителю, оказывающему услуги на Объектах ФФ, при условии выполнения Исполнителем требований Приложения № 6 к Договору. Заказчик предоставляет Исполнителю уведомление об оказанных услугах в электронной форме, размещая его в Аккаунте Исполнителя или отправляя по электронной почте.","6. Вознаграждение за услуги, 6.1, 6.1.1, 6.2",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
multi-block,"Какие действия должен предпринять Исполнитель, если он является иностранным гражданином и сменил место пребывания, и в какой срок он должен уведомить Заказчика об изменении своих данных?","Если Исполнитель является иностранным гражданином и сменил место пребывания, он обязан предоставить Заказчику копию отрывной части уведомления о прибытии в течение 3 рабочих дней. Исполнитель также обязан письменно извещать Заказчика об изменении паспортных данных, банковских реквизитов и других данных не позднее 3 календарных дней с момента таких изменений.","5. Права и обязанности Сторон, 5.1, 5.1.11, 5.1.12",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
multi-block,"Какие права имеет Заказчик в отношении проверки хода и качества оказания услуг Исполнителем, и каким указаниям Исполнитель обязан следовать?","Заказчик имеет право во всякое время проверять ход и качество оказания услуг Исполнителем, не вмешиваясь в его деятельность. Исполнитель обязуется следовать указаниям представителя Заказчика, уведомляя его о неблагоприятных последствиях, которые могут последовать за оказанием услуг в соответствии с такими указаниями.","5. Права и обязанности Сторон, 5.3, 5.3.1, 5.1.2",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
multi-block,"Каким образом Исполнитель подтверждает принадлежность указанного номера телефона Исполнителю, и какие ограничения могут быть применены к его аккаунту в ИС Заказчика?","Принадлежность номера телефона Исполнителю подтверждается простой электронной подписью, которой является индивидуальный одноразовый код, направляемый для верификации. Акцептуя Договор, Исполнитель соглашается с тем, что к его Аккаунту в любое время могут быть применены любые ограничения (в том числе блокировка), связанные с безопасностью или нарушением Исполнителем Договора, а также по техническим причинам.","3. Порядок заключения и изменения Договора, 3.4, 3.5",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
multi-block,"Каким образом Заказчик может использовать фотоизображение Исполнителя, и какие действия должен предпринять Исполнитель в отношении безопасной эксплуатации оборудования?","Заказчик может использовать фотоизображение Исполнителя для организации пропускного и внутриобъектового режимов, проверяя, что лицо, предъявляющее пропуск, действительно является Исполнителем. Исполнитель обязан соблюдать правила безопасной эксплуатации машин, оборудования и механизмов Заказчика, своевременно информировать Заказчика обо всех нарушениях и выявленных неисправностях.","5. Права и обязанности Сторон, 5.1, 5.1.5, 5.1.6, 5.1.7",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
logical thinking,"Какие общие принципы лежат в основе взаимоотношений Заказчика и Исполнителя в рамках договора возмездного оказания услуг, и как эти принципы соотносятся с гражданским законодательством РФ?","В основе взаимоотношений лежит принцип возмездности, согласно которому Исполнитель оказывает услуги, а Заказчик обязуется их оплатить. Также важны принципы свободы договора, диспозитивности и добросовестности. Договор является основным регулятором отношений, но он не должен противоречить нормам гражданского законодательства РФ, которые устанавливают общие рамки и принципы договорных отношений. В случае противоречия применяются нормы закона.",4.2. Взаимоотношения Сторон регулируются Договором и нормами гражданского законодательства Российской Федерации.,https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
logical thinking,"Каковы основные цели и задачи процедуры верификации Исполнителя, и какие риски она призвана минимизировать?","Основная цель верификации - установление личности Исполнителя и подтверждение его права на доступ к информационной системе Заказчика. Верификация призвана минимизировать риски мошенничества, несанкционированного доступа к данным и нарушения безопасности. Процедура позволяет убедиться в том, что Исполнитель является тем, за кого себя выдает, и что он имеет право на оказание услуг в рамках договора.",3.3. Для Авторизации Исполнителю необходимо пройти следующую процедуру Верификации:,https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
logical thinking,"Какие общие требования предъявляются к Исполнителю в отношении соблюдения правил безопасности и охраны труда на территории Заказчика, и почему их соблюдение является важным?","Исполнитель обязан соблюдать все правила безопасного поведения, требования пропускного и внутриобъектового режимов, а также правила пожарной безопасности, действующие на территории Заказчика. Это необходимо для обеспечения безопасности жизни и здоровья Исполнителя, работников Заказчика и третьих лиц, а также для предотвращения аварий, инцидентов и других негативных последствий. Соблюдение правил безопасности является важным элементом исполнения договора и может влиять на возможность дальнейшего сотрудничества.","5.1.5. соблюдать правила безопасного поведения, выполнять требования пропускного и внутриобъектового режимов и пожарной безопасности, действующих на территории Заказчика.",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
logical thinking,"Какие общие последствия могут наступить для Исполнителя в случае нарушения им условий договора, связанных с безопасностью, качеством услуг или сохранностью имущества Заказчика?","В случае нарушения Исполнителем условий договора, связанных с безопасностью, качеством услуг или сохранностью имущества Заказчика, могут наступить различные негативные последствия. К аккаунту Исполнителя могут быть применены ограничения, вплоть до блокировки доступа к ИС Заказчика. Исполнитель может быть привлечен к материальной ответственности за причиненный ущерб. Заказчик вправе в одностороннем порядке расторгнуть договор с Исполнителем.","3.5. Акцептуя Договор, Исполнитель соглашается с тем, что к его Аккаунту в любое время могут быть применены любые ограничения (в том числе блокировка), связанные с безопасностью или нарушением Исполнителем Договора",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
logical thinking,"Какова роль информационной системы Заказчика (ИС Заказчика) в процессе оказания услуг, и какие функции она выполняет для обеих сторон договора?","ИС Заказчика играет центральную роль в процессе оказания услуг, обеспечивая взаимодействие между Заказчиком и Исполнителем. Она служит платформой для обмена документами и информацией в электронном виде, обеспечивая прозрачность и оперативность коммуникаций. Через личный кабинет в ИС Заказчика Исполнитель получает доступ к необходимым данным, заданиям и отчетам, а также предоставляет информацию о выполненных услугах.","Информационная система Заказчика (ИС Заказчика) — Информационная система, принадлежащая / находящаяся в пользовании у Заказчика.",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
logical thinking,"Какие общие требования предъявляются к документам, предоставляемым Исполнителем, и почему важно своевременно уведомлять Заказчика об изменении личных данных?","К документам, предоставляемым Исполнителем, предъявляются требования достоверности и актуальности. Важно своевременно уведомлять Заказчика об изменении личных данных, таких как паспортные данные, банковские реквизиты и место пребывания, для обеспечения правильности расчетов, своевременной оплаты и соблюдения требований законодательства. Несоблюдение этих требований может привести к задержкам в выплатах, проблемам с налоговыми органами и другим негативным последствиям.","5.1.11. письменно извещать Заказчика об изменении паспортных данных, банковских реквизитов и других данных не позднее 3 (трех) календарных дней с момента таких изменений;",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
logical thinking,"Каковы общие цели и задачи Заказчика при осуществлении видеонаблюдения и фотофиксации на своей территории, и какие правовые основания для этого существуют?","Целью видеонаблюдения и фотофиксации является обеспечение безопасности на территории Заказчика, контроль за соблюдением правил и требований, а также проверка качества оказания услуг Исполнителем. Правовым основанием для этого является договор между Заказчиком и Исполнителем, в котором предусмотрена возможность использования результатов видеонаблюдения и фотофиксации в качестве доказательства неисполнения обязательств. При этом Заказчик должен соблюдать требования законодательства о защите персональных данных и уведомлять Исполнителя о проведении видеонаблюдения.",5.1.5. Заказчик также осуществляет видеонаблюдение и фотофиксацию на территории Заказчика с указанной целью.,https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
logical thinking,"Какие общие принципы лежат в основе определения вознаграждения Исполнителя, и какие факторы могут влиять на его размер?","Вознаграждение Исполнителя определяется на основе принципа оплаты за фактически оказанные услуги. Размер вознаграждения зависит от стоимости услуг, которая устанавливается в приложениях к договору. Факторы, влияющие на размер вознаграждения, включают объем оказанных услуг, их качество и сложность, а также выполнение Исполнителем дополнительных требований, таких как требования Приложения № 6 к Договору для исполнителей на Объектах ФФ.","6.1. За оказанные услуги Заказчик выплачивает Исполнителю вознаграждение, которое рассчитывается исходя из стоимости Услуг.",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
logical thinking,"Какие риски несет Заказчик, заключая договор с Исполнителем, который является государственным или муниципальным служащим, и какие меры предосторожности он принимает для минимизации этих рисков?","Заключение договора с государственным или муниципальным служащим может повлечь для Заказчика риски, связанные с нарушением антикоррупционного законодательства. Для минимизации этих рисков Заказчик требует от Исполнителя гарантии и заверения о том, что он не является и не являлся в прошлом государственным или муниципальным служащим. В случае нарушения этих гарантий Заказчик вправе расторгнуть договор и потребовать возмещения убытков, в том числе понесенных вследствие привлечения Заказчика к административной ответственности.","5.1.14. Исполнитель гарантирует, что не является государственным или муниципальным служащим.",https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
logical thinking,"Какие общие принципы лежат в основе изменения условий договора, и какие меры принимаются для обеспечения стабильности договорных отношений между Заказчиком и Исполнителем?","Изменение условий договора должно осуществляться на основе принципов разумности, справедливости и добросовестности. Для обеспечения стабильности договорных отношений изменения вносятся в договор в одностороннем порядке, но при этом Заказчик обязуется уведомить Исполнителя о таких изменениях. В случае несогласия с изменениями Исполнитель вправе расторгнуть договор.",3.6. Новая версия Договора вступает в силу и применяется к отношениям Сторон без подписания дополнительного соглашения.,https://docs.ozon.ru/legal/partners/warehouseman/contract/,law,ozon
