tp,q,a,txt,src,domain,set
Incorrect by design,Может ли Компания (Вайлдберриз) изменять цены на Услуги после полной оплаты заказа Клиентом?,"Нет, Компания вправе изменить цену на заказ до его оплаты.","""Компания оставляет за собой право на изменение указанных цен до момента полной оплаты заказа Клиентом, что связано с возможным изменением цен на Услуги со стороны Оператора или Ресурсодателя.""",https://legal.wildberries.ru/en/staff-counterparty-privacy-policy/country/ru/lang/ru/,law,wb
Table,,,В данном документе отсутствуют таблицы.,https://legal.wildberries.ru/en/staff-counterparty-privacy-policy/country/ru/lang/ru/,law,wb
No info,Каков средний размер сервисного сбора за оформление авиабилета через Wildberries Travel в 2024 году?,В тексте нет информации о среднем размере сервисного сбора за оформление авиабилета.,Неприменимо: Вопрос не относится к тексту.,https://legal.wildberries.ru/en/staff-counterparty-privacy-policy/country/ru/lang/ru/,law,wb
,,,,,,wb
Simple,Каким образом Вайлдберриз уведомляет пользователей об изменениях в пользовательском соглашении?,"Вайлдберриз вносит изменения в текст Соглашения, при этом дополнительное уведомление Пользователя не предусмотрено.",Общие положения. Изменение Соглашения осуществляется посредством внесения изменений в текст Соглашения и допускается без дополнительного уведомления Пользователя. (wb-agree.txt),https://legal.wildberries.ru/en/wildberries-services-terms-of-use/country/ru/lang/ru/,law,wb
With errors,Какие дествия заприщены пальзователю при использавании сервиса?,"Запрещены действия по обходу ограничений для доступа к Сервису, вызывающие большую нагрузку на Сервис, использование стороннего ПО, обход защитных средств, копирование кода, сбор информации без разрешения, массовые рассылки, нарушение прав третьих лиц, выдача себя за сотрудников Вайлдберриз, использование сервиса способами, противоречащими законодательству, содействие третьим лицам в нарушении Соглашения и / или пользовательских документов Сервиса.",Политика допустимого использования и контента. При использовании Сервиса Пользователю запрещено: совершать действия по обходу ограничений для доступа к Сервису... (wb-agree.txt),https://legal.wildberries.ru/en/wildberries-services-terms-of-use/country/ru/lang/ru/,law,wb
Trash,"Уважаемые юристы Вайлдберриз, не могли бы вы мне подробно, со всеми ссылками на нормативные акты и судебную практику, объяснить, что именно, с точки зрения вашего пользовательского соглашения, считается недопустимым поведением пользователя, ну вот прям чтобы я случайно не нарушил чего-нибудь, а то знаете ли, сейчас такие штрафы, что проще сразу в долговую яму угодить, особенно если учесть, что я не очень разбираюсь в этих ваших юридических терминах и вообще...","Запрещены действия по обходу ограничений для доступа к Сервису, вызывающие большую нагрузку на Сервис, использование стороннего ПО, обход защитных средств, копирование кода, сбор информации без разрешения, массовые рассылки, нарушение прав третьих лиц, выдача себя за сотрудников Вайлдберриз, использование сервиса способами, противоречащими законодательству, содействие третьим лицам в нарушении Соглашения и / или пользовательских документов Сервиса.",Политика допустимого использования и контента. При использовании Сервиса Пользователю запрещено: совершать действия по обходу ограничений для доступа к Сервису... (wb-agree.txt),https://legal.wildberries.ru/en/wildberries-services-terms-of-use/country/ru/lang/ru/,law,wb
Reformulation,"Верно ли, что Вайлдберриз не несет ответственности за упущенную выгоду Пользователя, возникшую из-за ошибок в работе Сервиса?","Да, верно, Вайлдберриз не несет ответственности за упущенную выгоду Пользователя, возникшую из-за ошибок в работе Сервиса, если иное не предусмотрено Законодательством.","Ответственность. Вайлдберриз не несет ответственности за какие-либо прямые или косвенные последствия какого-либо использования или невозможности использования Сервиса и/или любой ущерб и упущенную выгоду, причиненные Пользователю и/или третьим сторонам в результате какого-либо использования... (wb-agree.txt)",https://legal.wildberries.ru/en/wildberries-services-terms-of-use/country/ru/lang/ru/,law,wb
Incorrect by design,Может ли Вайлдберриз передавать персональные данные Пользователя третьим лицам без его согласия в маркетинговых целях?,В предоставленном тексте нет информации о возможности передачи персональных данных третьим лицам без согласия пользователя в маркетинговых целях.,(В тексте нет прямой информации о передаче персональных данных третьим лицам в маркетинговых целях без согласия пользователя.) (wb-agree.txt),https://legal.wildberries.ru/en/wildberries-services-terms-of-use/country/ru/lang/ru/,law,wb
Table,,,В документе нет таблиц. (wb-agree.txt),https://legal.wildberries.ru/en/wildberries-services-terms-of-use/country/ru/lang/ru/,law,wb
No info,Какова процедура медиации в случае возникновения спора между Вайлдберриз и пользователем из-за блокировки аккаунта?,В предоставленном тексте нет информации о процедуре медиации в случае возникновения споров.,(В тексте нет информации о процедуре медиации в случае споров.) (wb-agree.txt),https://legal.wildberries.ru/en/wildberries-services-terms-of-use/country/ru/lang/ru/,law,wb
,,,,,,wb
Simple,Какая организация является стороной Пользовательского соглашения сервиса Wildberries Travel?,ООО «ВБ Трэвел».,"Общие положения. Настоящее Пользовательское соглашение сервиса Wildberries Travel (далее – «Соглашение») регулирует отношения между ООО «ВБ Трэвел» (ОГРН 1227700783398, ИНН 9729326740), именуемым в дальнейшем «Вайлдберриз», и пользователем сети «Интернет» (далее – «Пользователь»), возникающие при использовании сервиса Wildberries Travel (далее – «Сервис»). (wb-travel.txt)",https://legal.wildberries.ru/en/sales-of-air-tickets-rules/country/ru/lang/ru/,law,wb
With errors,Несет ли арганизация Вайлдберис отвитственность за действия партнерав?,"Нет, не несет.","Общие положения. Вайлдберриз не является стороной договоров, заключаемых между Пользователем и Партнерами, и не несет ответственности за действия или бездействие Партнеров, а также за качество оказываемых ими услуг. (wb-travel.txt)",https://legal.wildberries.ru/en/sales-of-air-tickets-rules/country/ru/lang/ru/,law,wb
Trash,"Люди добрые, подскажите пожалуйста, вот если я, простой смертный, забронирую себе, скажем, отель через этот ваш Wildberries Travel, а потом окажется, что в отеле тараканы и вообще сервис отвратительный, к кому мне тогда претензии предъявлять, к Вайлдберриз или к отелю, и кто в итоге будет нести ответственность за мои испорченные нервы и отпуск, который я ждал целый год?","Вайлдберриз не несет ответственности за действия или бездействие Партнеров, а также за качество оказываемых ими услуг. Претензии следует предъявлять непосредственно отелю.","Общие положения. Вайлдберриз не является стороной договоров, заключаемых между Пользователем и Партнерами, и не несет ответственности за действия или бездействие Партнеров, а также за качество оказываемых ими услуг. (wb-travel.txt)",https://legal.wildberries.ru/en/sales-of-air-tickets-rules/country/ru/lang/ru/,law,wb
Reformulation,"Соответствует ли действительности утверждение, что Пользователь обязан регулярно знакомиться с действующей редакцией Пользовательского соглашения сервиса Wildberries Travel?","Да, это соответствует действительности.",Общие положения. Регулярное ознакомление с действующей редакцией Соглашения является обязанностью Пользователя. (wb-travel.txt),https://legal.wildberries.ru/en/sales-of-air-tickets-rules/country/ru/lang/ru/,law,wb
Incorrect by design,Обязан ли Вайлдберриз предоставлять Пользователю бесплатную горячую линию технической поддержки по вопросам работы Сервиса 24/7?,В предоставленном тексте нет информации об обязательствах Вайлдберриз по предоставлению бесплатной горячей линии технической поддержки.,(В тексте нет информации об обязательствах Вайлдберриз по предоставлению бесплатной горячей линии технической поддержки.) (wb-travel.txt),https://legal.wildberries.ru/en/sales-of-air-tickets-rules/country/ru/lang/ru/,law,wb
Table,,,В документе нет таблиц. (wb-travel.txt),https://legal.wildberries.ru/en/sales-of-air-tickets-rules/country/ru/lang/ru/,law,wb
No info,"Каков средний размер комиссии, взимаемой Wildberries Travel с отелей за привлечение клиентов через Сервис?","В предоставленном тексте нет информации о размере комиссии, взимаемой с отелей.","(В тексте нет информации о размере комиссии, взимаемой с отелей.) (wb-travel.txt)",https://legal.wildberries.ru/en/sales-of-air-tickets-rules/country/ru/lang/ru/,law,wb
,,,,,,wb
Simple,Какое юридическое лицо является Владельцем Торговой площадки Вайлдберриз согласно данной оферте?,ООО «РВБ».,"Владелец Торговой площадки — ООО «РВБ», далее — «Вайлдберриз», 142181, Московская область, г.о. Подольск, д. Коледино, тер. Индустриальный Парк Коледино, д.6, строение 1 , ОГРН 1247700471919, электронный адрес: sales@wildberries.ru. (wb-offer.txt)",https://legal.wildberries.ru/en/global-confidentiality-policy/country/ru/lang/ru/,law,wb
With errors,"Каким образам осуществляется ригистрация и авторизация на Тарговой площядке? (ошибки: ""образам"" вместо ""образом"", ""ригистрация"" вместо ""регистрация"", ""Тарговой"" вместо ""Торговой"", ""площядке"" вместо ""площадке"")","Регистрация и авторизация осуществляется с помощью номера телефона и одноразового кода, который направляется Пользователю через SMS-сообщение или пуш-уведомление от Вайлдберриз.","Регистрация и авторизация на Торговой площадке осуществляется с помощью номера телефона и одноразового кода, который направляется Пользователю через SMS-сообщение или пуш-уведомление от Вайлдберриз. (wb-offer.txt)",https://legal.wildberries.ru/en/global-confidentiality-policy/country/ru/lang/ru/,law,wb
Trash,"Дорогие друзья, вот скажите мне пожалуйста, если я захочу зарегистрироваться на этой вашей торговой площадке Wildberries, мне нужно будет заполнять кучу всяких бумажек, там, паспортные данные вводить, или достаточно просто номер телефона указать и какой-нибудь там код подтверждения получить, а то знаете ли, сейчас столько мошенников развелось, что страшно свои данные кому попало доверять?","Регистрация и авторизация осуществляется с помощью номера телефона и одноразового кода, который направляется Пользователю через SMS-сообщение или пуш-уведомление от Вайлдберриз.","Регистрация и авторизация на Торговой площадке осуществляется с помощью номера телефона и одноразового кода, который направляется Пользователю через SMS-сообщение или пуш-уведомление от Вайлдберриз. (wb-offer.txt)",https://legal.wildberries.ru/en/global-confidentiality-policy/country/ru/lang/ru/,law,wb
Reformulation,"Верно ли, что, продолжая использование Торговой площадки, Пользователь безоговорочно соглашается с тем, что ООО «Вайлдберриз» передает все права и обязанности по договору ООО «РВБ»?","Да, верно.","Продолжая использование Торговой площадки, Пользователь безоговорочно соглашается с тем, что ООО «Вайлдберриз» (142181 Московская область, г.о. Подольск, г. Подольск, деревня Коледино, Территория Индустриальный парк Коледино, д. 6, стр. 1, ОГРН 1067746062449) передает, а ООО «РВБ» (адрес регистрации: 142181, Московская область, г.о. Подольск, д. Коледино, тер. Индустриальный Парк Коледино, д.6, строение 1 , ОГРН 1247700471919) принимает все права и обязанности в объеме и на условиях, которые существуют к настоящему моменту по Договору, заключенному между ООО «Вайлдберриз» и Пользователем. (wb-offer.txt)",https://legal.wildberries.ru/en/global-confidentiality-policy/country/ru/lang/ru/,law,wb
Incorrect by design,"Обязан ли Вайлдберриз предоставлять Пользователю персонального менеджера для решения вопросов, связанных с использованием Торговой площадки?",В тексте оферты нет информации об обязанности Вайлдберриз предоставлять Пользователю персонального менеджера.,(В тексте нет информации об обязанности Вайлдберриз предоставлять Пользователю персонального менеджера.) (wb-offer.txt),https://legal.wildberries.ru/en/global-confidentiality-policy/country/ru/lang/ru/,law,wb
Table,,,В документе нет таблиц. (wb-offer.txt),https://legal.wildberries.ru/en/global-confidentiality-policy/country/ru/lang/ru/,law,wb
No info,"Каков порядок уплаты налогов с доходов, полученных от продажи товаров на Торговой площадке Вайлдберриз самозанятым гражданином?",В тексте оферты нет информации о порядке уплаты налогов самозанятыми гражданами.,(В тексте нет информации о порядке уплаты налогов самозанятыми гражданами.) (wb-offer.txt),https://legal.wildberries.ru/en/global-confidentiality-policy/country/ru/lang/ru/,law,wb
,,,,,,wb
Simple,"Какова основная цель ""Глобальной политики конфиденциальности Вайлдберриз""?","Предоставление информации об условиях, порядке, основных целях обработки персональных данных, осуществляемой Вайлдберриз.","В этой Политике конфиденциальности Вайлдберриз (далее также – «Политика») мы предоставляем Вам информацию об условиях, порядке, основных целях обработки персональных данных, которая осуществляется Вайлдберриз в связи с предоставлением функционала сайтов, мобильных приложений, иных информационных технологий (далее совместно – «Сервисы»), и в рамках иной деятельности Вайлдберриз, включая, в частности, подбор персонала. (wb-conf-policy.txt)",https://legal.wildberries.ru/en/consumers-offer/country/ru/lang/ru/,law,wb
With errors,"Что понимаится под термином ""абработать"" персональные даные в данной политике? (ошибки: ""понимаится"" вместо ""понимается"", ""абработать"" вместо ""обработать"", ""даные"" вместо ""данные"")","«Обработать» персональные данные – значит сделать с ними что-либо, собрать, проанализировать, передать или даже просто сохранить для какой-то цели.","Под «персональными данными» мы понимаем любую информацию, связанную с Вами или другими субъектами персональных данных, как это установлено применимым к Вайлдберриз законодательством. «Обработать» персональные данные – значит сделать с ними что-либо, собрать, проанализировать, передать или даже просто сохранить для какой-то цели. (wb-conf-policy.txt)",https://legal.wildberries.ru/en/consumers-offer/country/ru/lang/ru/,law,wb
Trash,"Объясните мне, пожалуйста, простым и понятным языком, без всяких там юридических терминов и заумных фраз, что вообще означает это ваше ""обрабатывать персональные данные"", о котором вы тут пишете, ну вот прям что вы с моими данными делаете, когда я пользуюсь вашим сайтом или приложением, вы их там как-то анализируете, продаете кому-нибудь или что вообще с ними происходит?","«Обработать» персональные данные – значит сделать с ними что-либо, собрать, проанализировать, передать или даже просто сохранить для какой-то цели.","Под «персональными данными» мы понимаем любую информацию, связанную с Вами или другими субъектами персональных данных, как это установлено применимым к Вайлдберриз законодательством. «Обработать» персональные данные – значит сделать с ними что-либо, собрать, проанализировать, передать или даже просто сохранить для какой-то цели. (wb-conf-policy.txt)",https://legal.wildberries.ru/en/consumers-offer/country/ru/lang/ru/,law,wb
Reformulation,"Соответствует ли действительности утверждение, что Вайлдберриз руководствуется принципами обработки персональных данных, в качестве фундамента своей деятельности?","Да, это соответствует действительности.","Независимо от того, какое законодательство применимо к тому или иному Сервису, Вайлдберриз руководствуется приведенными ниже принципами обработки персональных данных в качестве фундамента своей деятельности. (wb-conf-policy.txt)",https://legal.wildberries.ru/en/consumers-offer/country/ru/lang/ru/,law,wb
Incorrect by design,Имеет ли право Вайлдберриз передавать персональные данные пользователей третьим лицам в маркетинговых целях без их согласия?,В тексте политики прямо не указано о передаче данных третьим лицам в маркетинговых целях без согласия пользователя.,"(В тексте прямо не указано о передаче данных третьим лицам в маркетинговых целях без согласия пользователя. Указаны общие случаи передачи данных для предоставления сервисов, исполнения закона, повышения безопасности.) (wb-conf-policy.txt)",https://legal.wildberries.ru/en/consumers-offer/country/ru/lang/ru/,law,wb
Table,,,В документе есть таблица с целями использования cookies. (wb-conf-policy.txt),https://legal.wildberries.ru/en/consumers-offer/country/ru/lang/ru/,law,wb
No info,Каков порядок действий пользователя в случае утечки его персональных данных из базы данных Вайлдберриз?,В тексте политики нет конкретной информации о порядке действий пользователя в случае утечки его персональных данных.,(В тексте нет конкретной информации о порядке действий пользователя в случае утечки его персональных данных. Указаны общие меры по обеспечению безопасности.) (wb-conf-policy.txt),https://legal.wildberries.ru/en/consumers-offer/country/ru/lang/ru/,law,wb
,,,,,,wb
Simple,Кто является Клиентом в соответствии с данной офертой об оказании услуг перевозки и транспортной экспедиции?,Общество с ограниченной ответственностью «РВБ».,"Клиент – Общество с ограниченной ответственностью «РВБ» (ОГРН 1247700471919, ИНН 9714053621), зарегистрированное и действующее по законодательству Российской Федерации, адрес юридического лица: 142181, Московская область, г.о. Подольск, д. Коледино, тер. Индустриальный Парк Коледино, д.6, строение 1; (wb-offer-tra.txt)",https://legal.wildberries.ru/en/oferta-transport/country/ru/lang/ru/,law,wb
With errors,"Каким образам Экспидитор акцептует оферту? (ошибки: ""образам"" вместо ""образом"", ""Экспидитор"" вместо ""Экспедитор"")",Акцепт Оферты Экспедитором является совершенным в момент ее подтверждения путем нажатия соответствующей кнопки и отправки заполненной формы для регистрации в Системе Клиента (Программе).,Договор на условиях Оферты считается заключенным между Экспедитором и Клиентом в момент акцепта Экспедитором Оферты. Акцепт Оферты Экспедитором является совершенным в момент ее подтверждения путем нажатия соответствующей кнопки и отправки заполненной формы для регистрации в Системе Клиента (Программе). (wb-offer-tra.txt),https://legal.wildberries.ru/en/oferta-transport/country/ru/lang/ru/,law,wb
Trash,"Вот скажите мне, пожалуйста, простым языком, без этих ваших юридических заморочек, как этот экспедитор должен принять вашу оферту, чтобы начать с вами работать, ну там какие-нибудь документы подписывать, печати ставить или достаточно просто на кнопочку нажать на вашем сайте и галочку поставить, что со всем согласен?",Акцепт Оферты Экспедитором является совершенным в момент ее подтверждения путем нажатия соответствующей кнопки и отправки заполненной формы для регистрации в Системе Клиента (Программе).,Договор на условиях Оферты считается заключенным между Экспедитором и Клиентом в момент акцепта Экспедитором Оферты. Акцепт Оферты Экспедитором является совершенным в момент ее подтверждения путем нажатия соответствующей кнопки и отправки заполненной формы для регистрации в Системе Клиента (Программе). (wb-offer-tra.txt),https://legal.wildberries.ru/en/oferta-transport/country/ru/lang/ru/,law,wb
Reformulation,"Верно ли, что регистрация Аккаунта Экспедитора в Программе означает полное и безоговорочное принятие Экспедитором Оферты?","Да, это верно.",Регистрация Аккаунта Экспедитора в Программе означает полное и безоговорочное принятие Экспедитором Оферты. (wb-offer-tra.txt),https://legal.wildberries.ru/en/oferta-transport/country/ru/lang/ru/,law,wb
Incorrect by design,Обязан ли Клиент выплачивать Экспедитору премию за безаварийную езду и соблюдение сроков доставки?,В тексте оферты нет информации об обязательстве Клиента выплачивать Экспедитору премию за безаварийную езду.,(В тексте оферты нет информации об обязательстве Клиента выплачивать Экспедитору премию за безаварийную езду.) (wb-offer-tra.txt),https://legal.wildberries.ru/en/oferta-transport/country/ru/lang/ru/,law,wb
Table,,,В документе нет таблиц. (wb-offer-tra.txt),https://legal.wildberries.ru/en/oferta-transport/country/ru/lang/ru/,law,wb
No info,"Каков размер штрафа, налагаемого на Экспедитора за нарушение правил парковки на территории склада Клиента?",В тексте оферты нет информации о размере штрафа за нарушение правил парковки.,(В тексте оферты нет информации о размере штрафа за нарушение правил парковки.) (wb-offer-tra.txt),https://legal.wildberries.ru/en/oferta-transport/country/ru/lang/ru/,law,wb
